product_id,reordered_0,reordered_1,frequency,ordered_first,ordered_last,clusters_5,clusters_8,aisle_id,department_id,department,aisle
1,743,1185.0,1928.0,98.0,76.0,2,4,61,19,snacks,cookies cakes
2,81,13.0,94.0,3.0,4.0,0,1,104,13,pantry,spices seasonings
3,74,209.0,283.0,17.0,6.0,0,1,94,7,beverages,tea
4,190,161.0,351.0,39.0,22.0,2,1,38,1,frozen,frozen meals
5,6,10.0,16.0,1.0,1.0,0,2,5,13,pantry,marinades meat preparation
6,5,3.0,8.0,0.0,0.0,1,0,11,11,personal care,cold flu allergy
7,18,13.0,31.0,2.0,1.0,0,2,98,7,beverages,juice nectars
8,88,90.0,178.0,14.0,13.0,0,1,116,1,frozen,frozen produce
9,77,84.0,161.0,16.0,5.0,0,1,120,16,dairy eggs,yogurt
10,1317,1374.0,2691.0,131.0,119.0,2,4,115,7,beverages,water seltzer sparkling water
11,46,60.0,106.0,14.0,2.0,0,1,31,7,beverages,refrigerated
12,127,132.0,259.0,21.0,13.0,2,1,119,1,frozen,frozen dessert
13,7,3.0,10.0,0.0,1.0,1,6,11,11,personal care,cold flu allergy
14,16,2.0,18.0,2.0,1.0,0,2,74,17,household,dish detergents
15,5,1.0,6.0,0.0,2.0,1,6,56,18,babies,diapers wipes
16,18,2.0,20.0,0.0,1.0,1,6,103,19,snacks,ice cream toppings
17,16,2.0,18.0,2.0,0.0,3,5,35,12,meat seafood,poultry counter
18,59,84.0,143.0,8.0,6.0,0,1,79,1,frozen,frozen pizza
19,4,0.0,4.0,1.0,0.0,4,7,63,9,dry goods pasta,grains rice dried goods
20,5,1.0,6.0,0.0,0.0,1,0,98,7,beverages,juice nectars
21,9,2.0,11.0,0.0,1.0,1,6,40,8,pets,dog food care
22,26,19.0,45.0,3.0,2.0,0,2,20,11,personal care,oral hygiene
23,622,516.0,1138.0,77.0,70.0,2,4,49,12,meat seafood,packaged poultry
24,7,6.0,13.0,0.0,0.0,1,0,47,11,personal care,vitamins supplements
25,810,1442.0,2252.0,121.0,86.0,2,4,3,19,snacks,energy granola bars
26,88,254.0,342.0,19.0,8.0,2,1,41,8,pets,cat food care
27,111,77.0,188.0,12.0,4.0,0,1,127,11,personal care,body lotions soap
28,351,387.0,738.0,62.0,32.0,2,4,121,14,breakfast,cereal
29,143,85.0,228.0,22.0,10.0,2,1,81,15,canned goods,canned jarred vegetables
30,50,41.0,91.0,8.0,10.0,0,1,38,1,frozen,frozen meals
31,86,16.0,102.0,7.0,6.0,0,1,123,4,produce,packaged vegetables fruits
32,185,384.0,569.0,33.0,26.0,2,1,107,19,snacks,chips pretzels
33,18,15.0,33.0,2.0,1.0,0,2,131,9,dry goods pasta,dry pasta
34,2691,4088.0,6779.0,479.0,243.0,2,4,121,14,breakfast,cereal
35,220,107.0,327.0,30.0,16.0,2,1,106,12,meat seafood,hot dogs bacon sausage
36,99,45.0,144.0,21.0,15.0,0,1,38,1,frozen,frozen meals
37,470,336.0,806.0,70.0,37.0,2,4,69,15,canned goods,soup broth bouillon
38,18,1.0,19.0,0.0,2.0,1,6,100,21,missing,missing
39,7,2.0,9.0,1.0,0.0,3,5,64,7,beverages,energy sports drinks
40,35,49.0,84.0,6.0,5.0,0,2,106,12,meat seafood,hot dogs bacon sausage
41,19,33.0,52.0,3.0,3.0,0,2,78,19,snacks,crackers
42,13,1.0,14.0,3.0,1.0,0,2,47,11,personal care,vitamins supplements
43,189,35.0,224.0,22.0,3.0,2,1,123,4,produce,packaged vegetables fruits
44,170,232.0,402.0,18.0,11.0,2,1,115,7,beverages,water seltzer sparkling water
45,6533,12505.0,19038.0,1241.0,625.0,2,4,83,4,produce,fresh vegetables
46,39,118.0,157.0,6.0,6.0,0,1,58,1,frozen,frozen breads doughs
47,161,184.0,345.0,21.0,12.0,2,1,66,6,international,asian foods
48,14,1.0,15.0,2.0,5.0,0,2,87,17,household,more household
49,1019,1387.0,2406.0,160.0,98.0,2,4,14,20,deli,tofu meat alternatives
50,185,113.0,298.0,14.0,11.0,2,1,105,13,pantry,doughs gelatins bake mixes
51,6,1.0,7.0,0.0,0.0,1,0,22,11,personal care,hair care
52,12,17.0,29.0,3.0,1.0,0,2,134,5,alcohol,specialty wines champagnes
